hotelname,roomtype,country,city,propertytype,roomamenities,ratedescription,address,max,starrating
The Old Cider House,Double Room,United Kingdom,Nether Stowey,Hotels,Air conditioning: ;Alarm clock: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;DVD/CD player: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Linens: ;Mini bar: ;Seating area: ;Toiletries: ;Towels: ;TV [flat screen]: ;,"Room size: 15 m²/161 ft², Shower, 1 king bed",25 Castle Street,107.7,4
The Old Cider House,Deluxe Double Room with Shower,United Kingdom,Nether Stowey,Hotels,Air conditioning: ;Alarm clock: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;DVD/CD player: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Linens: ;Mini bar: ;Seating area: ;Toiletries: ;Towels: ;TV [flat screen]: ;,"Room size: 17 m²/183 ft², Shower, 1 queen bed or 2 single beds",25 Castle Street,107.7,4
The Old Cider House,Superior Double Room,United Kingdom,Nether Stowey,Hotels,Air conditioning: ;Alarm clock: ;Carpeting: ;Closet: ;Coffee/tea maker: ;DVD/CD player: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Linens: ;Mini bar: ;Seating area: ;Toiletries: ;Towels: ;TV [flat screen]: ;,"Room size: 17 m²/183 ft², Shower, 1 double bed",25 Castle Street,107.7,4
The Old Cider House,Standard Double or Twin Room,United Kingdom,Nether Stowey,Hotels,Air conditioning: ;Alarm clock: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;DVD/CD player: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Linens: ;Mini bar: ;Seating area: ;Toiletries: ;Towels: ;TV [flat screen]: ;,"Room size: 13 m²/140 ft², Shower, 1 queen bed or 2 single beds",25 Castle Street,107.7,4
Apollo Hotel London,Standard Triple Room,United Kingdom,London,Hotels,Air conditioning: ;Clothes rack: ;Coffee/tea maker: ;Daily housekeeping: ;Hair dryer: ;Heating: ;In-room safe box: ;Internet access – wireless: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;,"Room size: 20 m²/215 ft², Shower, 3 single beds",64-66 Queensborough Terrace,1055.92,2
Apollo Hotel London,Deluxe Triple Room,United Kingdom,London,Hotels,Air conditioning: ;Clothes rack: ;Heating: ;In-room safe box: ;Toiletries: ;TV: ;,"Shower, 1 single bed and 1 double bed",64-66 Queensborough Terrace,1055.92,2
Apollo Hotel London,Deluxe Double Room,United Kingdom,London,Hotels,Air conditioning: ;Clothes rack: ;Coffee/tea maker: ;Hair dryer: ;Heating: ;In-room safe box: ;Toiletries: ;TV: ;,"Shower, 1 double bed",64-66 Queensborough Terrace,1055.92,2
Hotel Rivoli,Single Room,Germany,Munich,Hotels,Air conditioning: ;Closet: ;Daily housekeeping: ;Desk: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Linens: ;Mini bar: ;On-demand movies: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;Wooden/parqueted flooring: ;,"Room size: 18 m²/194 ft², City view, Shower and bathtub, 1 single bed",Albert-Rosshaupter-Str. 18,118.77,3
Hotel Rivoli,Double Room,Germany,Munich,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Shower: ;Telephone: ;TV: ;,"Free Wi-Fi, Extra low price! (non-refundable)",Albert-Rosshaupter-Str. 18,118.77,3
Hotel Rivoli,Room Standard,Germany,Munich,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Shower: ;TV: ;,"Free Wi-Fi, Extra low price! (non-refundable)",Albert-Rosshaupter-Str. 18,118.77,3
Hotel Rivoli,Double or Twin Room,Germany,Munich,Hotels,Air conditioning: ;Closet: ;Daily housekeeping: ;Desk: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Linens: ;Mini bar: ;On-demand movies: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;Wooden/parqueted flooring: ;,"Room size: 20 m²/215 ft², City view, Shower and bathtub, 1 double bed or 2 single beds",Albert-Rosshaupter-Str. 18,118.77,3
Hotel Rivoli,Run of House,Germany,Munich,Hotels,Air conditioning: ;Daily housekeeping: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;In-room safe box: ;Mini bar: ;On-demand movies: ;Satellite/cable channels: ;,Shower,Albert-Rosshaupter-Str. 18,118.77,3
Hotel Rivoli,Triple Room,Germany,Munich,Hotels,Air conditioning: ;Closet: ;Desk: ;Fan: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Linens: ;Mini bar: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;Wooden/parqueted flooring: ;,"Room size: 20 m²/215 ft², City view, Non-smoking, Shower and bathtub, 1 double bed and 1 sofa bed or 1 sofa bed and 2 single beds",Albert-Rosshaupter-Str. 18,118.77,3
Timhotel Tour Eiffel,Comfort Single Room,France,Paris,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Linens: ;Mirror: ;Satellite/cable channels: ;Smoke detector: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;,"Room size: 14 m²/151 ft², City view, Non-smoking, Shower and bathtub, 1 double bed",11 rue Juge,236.09,3
Timhotel Tour Eiffel,Comfort Twin Room,France,Paris,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Linens: ;Mirror: ;Satellite/cable channels: ;Smoke detector: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;,"Room size: 14 m²/151 ft², City view, Non-smoking, Shower and bathtub, 2 single beds",11 rue Juge,236.09,3
Timhotel Tour Eiffel,Comfort Double Room,France,Paris,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Linens: ;Mirror: ;Satellite/cable channels: ;Smoke detector: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;,"Room size: 14 m²/151 ft², City view, Non-smoking, Shower and bathtub, 1 double bed",11 rue Juge,236.09,3
Timhotel Tour Eiffel,Superior Double Room,France,Paris,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Blackout curtains: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Linens: ;Mirror: ;Satellite/cable channels: ;Smoke detector: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;,"Room size: 14 m²/151 ft², City view, Non-smoking, Shower, 1 double bed",11 rue Juge,236.09,3
Timhotel Tour Eiffel,Junior Suite,France,Paris,Hotels,Air conditioning: ;Alarm clock: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Linens: ;Satellite/cable channels: ;Seating area: ;Shower: ;Slippers: ;Smoke detector: ;Sofa: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wake-up service: ;,"Room size: 28 m²/301 ft², City view, Balcony/terrace, Non-smoking, Bathtub, 1 double bed and 1 sofa bed",11 rue Juge,236.09,3
AC Hotel Manchester Salford Quays,"Deluxe, Guest room, 1 Double",United Kingdom,Manchester,Hotels,Air conditioning: ;Closet: ;Coffee/tea maker: ;Desk: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Interconnecting room(s) available: ;Ironing facilities: ;Refrigerator: ;Satellite/cable channels: ;Seating area: ;Shower: ;Telephone: ;Toiletries: ;,"Room size: 25 m²/269 ft², City view, 2 single beds or 1 king bed","17-19 Trafford Road, Salford Quays",135.16,4
AC Hotel Manchester Salford Quays,Deluxe Twin Room,United Kingdom,Manchester,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Shower: ;TV: ;,"Room size: 23 m²/248 ft², 2 single beds","17-19 Trafford Road, Salford Quays",135.16,4
AC Hotel Manchester Salford Quays,"Deluxe, Guest room, 1 Double",United Kingdom,Manchester,Hotels,Air conditioning: ;Closet: ;Clothes rack: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Interconnecting room(s) available: ;Laptop safe box: ;Linens: ;Refrigerator: ;Satellite/cable channels: ;Seating area: ;Smoke detector: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wooden/parqueted flooring: ;,"Room size: 23 m²/248 ft², Shower and bathtub, 1 king bed","17-19 Trafford Road, Salford Quays",135.16,4
AC Hotel Manchester Salford Quays,"Superior, Guest room, 1 Double, High floor",United Kingdom,Manchester,Hotels,Air conditioning: ;Bathrobes: ;Closet: ;Clothes rack: ;Coffee/tea maker: ;Desk: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Interconnecting room(s) available: ;Ironing facilities: ;Linens: ;Mini bar: ;Mirror: ;Refrigerator: ;Satellite/cable channels: ;Seating area: ;Slippers: ;Smoke detector: ;Soundproofing: ;Telephone: ;Toiletries: ;Towels: ;Wooden/parqueted flooring: ;,"Room size: 25 m²/269 ft², City view, Shower and bathtub, 2 single beds or 1 king bed","17-19 Trafford Road, Salford Quays",135.16,4
Hotel Paris Villette,full size bed (1 big bed),France,Paris,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Shower: ;TV: ;,"Free Wi-Fi, Extra low price! (non-refundable)",56 Rue Curial,106.49,3
Hotel Paris Villette,Twin (2 beds),France,Paris,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Shower: ;TV: ;,"Free Wi-Fi, Extra low price! (non-refundable)",56 Rue Curial,106.49,3
Hotel Paris Villette,Double Room For Single Or Double Occupancy,France,Paris,Hotels,Air conditioning: ;Closet: ;Clothes rack: ;Desk: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;,"Room size: 13 m²/140 ft², Non-smoking, Shower, 1 double bed",56 Rue Curial,106.49,3
Hotel Paris Villette,Twin Room,France,Paris,Hotels,Air conditioning: ;Closet: ;Clothes rack: ;Daily housekeeping: ;Desk: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;,"Room size: 13 m²/140 ft², Non-smoking, Shower, 2 single beds",56 Rue Curial,106.49,3
Hotel Paris Villette,Triple Room,France,Paris,Hotels,Air conditioning: ;Closet: ;Clothes rack: ;Daily housekeeping: ;Desk: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Ironing facilities: ;Laptop safe box: ;Satellite/cable channels: ;Telephone: ;Toiletries: ;,"Room size: 15 m²/161 ft², Non-smoking, Shower, 1 single bed and 1 double bed",56 Rue Curial,106.49,3
"Lincoln Plaza London, Curio Collection by Hilton",Tillerman Twin Room,United Kingdom,London,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Interconnecting room(s) available: ;Linens: ;Mini bar: ;Mirror: ;On-demand movies: ;Seating area: ;Shower: ;Slippers: ;Telephone: ;Toiletries: ;Towels: ;TV [flat screen]: ;Wake-up service: ;,"Room size: 25 m²/269 ft², 2 single beds",2 Lincoln Plaza,379.08,4
"Lincoln Plaza London, Curio Collection by Hilton",Keeler Queen Room,United Kingdom,London,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Interconnecting room(s) available: ;Linens: ;Mini bar: ;Mirror: ;On-demand movies: ;Seating area: ;Shower: ;Slippers: ;Telephone: ;Toiletries: ;Towels: ;TV [flat screen]: ;Wake-up service: ;,"Room size: 28 m²/301 ft², 1 queen bed",2 Lincoln Plaza,379.08,4
"Lincoln Plaza London, Curio Collection by Hilton",Bargemaster King Room,United Kingdom,London,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Linens: ;Mini bar: ;Mirror: ;On-demand movies: ;Seating area: ;Shower: ;Slippers: ;Telephone: ;Toiletries: ;Towels: ;TV [flat screen]: ;Wake-up service: ;,"Room size: 32 m²/344 ft², 1 king bed",2 Lincoln Plaza,379.08,4
"Lincoln Plaza London, Curio Collection by Hilton",Tillerman Queen Room,United Kingdom,London,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Mirror: ;Shower: ;Telephone: ;TV: ;,Room size: 24 m²/258 ft²,2 Lincoln Plaza,379.08,4
"Lincoln Plaza London, Curio Collection by Hilton",Tillerman Twin Room,United Kingdom,London,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Mirror: ;Shower: ;Telephone: ;TV: ;,Room size: 24 m²/258 ft²,2 Lincoln Plaza,379.08,4
"Lincoln Plaza London, Curio Collection by Hilton",Tillerman Double Accessible Room,United Kingdom,London,Hotels,Air conditioning: ;Alarm clock: ;Bathrobes: ;Carpeting: ;Closet: ;Coffee/tea maker: ;Free bottled water: ;Free Wi-Fi in all rooms!: ;Hair dryer: ;Heating: ;In-room safe box: ;Linens: ;Mini bar: ;Mirror: ;On-demand movies: ;Seating area: ;Shower: ;Slippers: ;Telephone: ;Toiletries: ;Towels: ;TV [flat screen]: ;Wake-up service: ;,"Free Wi-Fi, Free cancellation before October 13, 2019",2 Lincoln Plaza,379.08,4
"Lincoln Plaza London, Curio Collection by Hilton",Lighterman King Room,United Kingdom,London,Hotels,Air conditioning: ;Free Wi-Fi in all rooms!: ;In-room safe box: ;Shower: ;TV: ;,"Free Wi-Fi, Free cancellation before October 13, 2019",2 Lincoln Plaza,379.08,4
